Test name: secret_branch
Testing instruction: test %rax, %rax	mov %rcx, -8(%rsp)
cycles, secret
8352, 1
8058, 1
8222, 1
8086, 1
8108, 1
8028, 1
8068, 1
8050, 1
8081, 1
8002, 1
8185, 1
8043, 1
8094, 1
8028, 1
8082, 1
8060, 1
8109, 1
8026, 1
8069, 1
8050, 1
8078, 1
8002, 1
8063, 1
8048, 1
8100, 1
8047, 1
8106, 1
8072, 1
8116, 1
8060, 1
8101, 1
8054, 1
8087, 1
8034, 1
8085, 1
8036, 1
8084, 1
8056, 1
8100, 1
8069, 1
8115, 1
8058, 1
8095, 1
8058, 1
8100, 1
8030, 1
8078, 1
8034, 1
8080, 1
8046, 1
8095, 1
-
8054, 0
8054, 0
8046, 0
8089, 0
8034, 0
8065, 0
8048, 0
8077, 0
8052, 0
8071, 0
8058, 0
8111, 0
8061, 0
8094, 0
8052, 0
8085, 0
8040, 0
8099, 0
8032, 0
8079, 0
8054, 0
8111, 0
8062, 0
8118, 0
8065, 0
8107, 0
8058, 0
8091, 0
8042, 0
8102, 0
8031, 0
8090, 0
8043, 0
8102, 0
8056, 0
8111, 0
8072, 0
8100, 0
8055, 0
8090, 0
8040, 0
8086, 0
8029, 0
8080, 0
8038, 0
8105, 0
8058, 0
8103, 0
8056, 0
8130, 0
8070, 0
8099, 0
-
8032, 1
8012, 1
8213, 1
8054, 1
8098, 1
8032, 1
8083, 1
8057, 1
8098, 1
8016, 1
8213, 1
8046, 1
8080, 1
7994, 1
8062, 1
8056, 1
8100, 1
8024, 1
8080, 1
8065, 1
8106, 1
8020, 1
8064, 1
8038, 1
8092, 1
8030, 1
8097, 1
8052, 1
8109, 1
8062, 1
8116, 1
8070, 1
8127, 1
8046, 1
8090, 1
8044, 1
8080, 1
8024, 1
8078, 1
8048, 1
8110, 1
8053, 1
8098, 1
8076, 1
8115, 1
8058, 1
8092, 1
8048, 1
8088, 1
8036, 1
8074, 1
-
8050, 1
8034, 1
8231, 1
8061, 1
8092, 1
8023, 1
8064, 1
8038, 1
8076, 1
8008, 1
8223, 1
8052, 1
8094, 1
8034, 1
8084, 1
8063, 1
8101, 1
8020, 1
8056, 1
8044, 1
8072, 1
8004, 1
8092, 1
8056, 1
8112, 1
8056, 1
8107, 1
8070, 1
8128, 1
8046, 1
8094, 1
8046, 1
8107, 1
8024, 1
8085, 1
8044, 1
8095, 1
8058, 1
8107, 1
8073, 1
8123, 1
8050, 1
8093, 1
8054, 1
8086, 1
8030, 1
8075, 1
8042, 1
8091, 1
8050, 1
8106, 1
-
8050, 1
8024, 1
8209, 1
8024, 1
8082, 1
8016, 1
8057, 1
8050, 1
8117, 1
8032, 1
8239, 1
8061, 1
8102, 1
8020, 1
8062, 1
8032, 1
8078, 1
8004, 1
8057, 1
8052, 1
8101, 1
8028, 1
8119, 1
8063, 1
8110, 1
8050, 1
8102, 1
8046, 1
8082, 1
8032, 1
8083, 1
8046, 1
8130, 1
8057, 1
8107, 1
8076, 1
8102, 1
8055, 1
8100, 1
8042, 1
8082, 1
8032, 1
8082, 1
8050, 1
8092, 1
8050, 1
8097, 1
8181, 1
8097, 1
8048, 1
8088, 1
-
8036, 1
8012, 1
8203, 1
8059, 1
8110, 1
8036, 1
8090, 1
8058, 1
8099, 1
8012, 1
8209, 1
8033, 1
8078, 1
8008, 1
8062, 1
8062, 1
8106, 1
8028, 1
8084, 1
8057, 1
8106, 1
8014, 1
8060, 1
8034, 1
8088, 1
8034, 1
8102, 1
8058, 1
8103, 1
8062, 1
8115, 1
8063, 1
8124, 1
8060, 1
8087, 1
8042, 1
8093, 1
8034, 1
8077, 1
8048, 1
8107, 1
8060, 1
8103, 1
8071, 1
8104, 1
8054, 1
8085, 1
8040, 1
8079, 1
8040, 1
8076, 1
-
8062, 0
8063, 0
8062, 0
8108, 0
8041, 0
8062, 0
8035, 0
8082, 0
8032, 0
8080, 0
8053, 0
8112, 0
8056, 0
8103, 0
8076, 0
8110, 0
8050, 0
8086, 0
8036, 0
8080, 0
8034, 0
8096, 0
8040, 0
8103, 0
8054, 0
8111, 0
8064, 0
8114, 0
8051, 0
8099, 0
8040, 0
8095, 0
8032, 0
8100, 0
8040, 0
8098, 0
8056, 0
8121, 0
8069, 0
8112, 0
8062, 0
8107, 0
8050, 0
8095, 0
8038, 0
8076, 0
8040, 0
8089, 0
8052, 0
8108, 0
8067, 0
8111, 0
-
8038, 0
8038, 0
8022, 0
8087, 0
8054, 0
8071, 0
8048, 0
8108, 0
8069, 0
8086, 0
8054, 0
8095, 0
8046, 0
8048, 0
8034, 0
8076, 0
8044, 0
8094, 0
8046, 0
8105, 0
8066, 0
8127, 0
8060, 0
8103, 0
8052, 0
8091, 0
8040, 0
